Entity,Code,Year,Blood donations by MSMs (current)
Afghanistan,AFG,2023,08. Banned (indefinite deferral)
Albania,ALB,2023,01. Legal
Algeria,DZA,2023,08. Banned (indefinite deferral)
Andorra,AND,2023,01. Legal
Angola,AGO,2023,01. Legal
Anguilla,AIA,2023,01. Legal
Antarctica,ATA,2023,01. Legal
Antigua and Barbuda,ATG,2023,01. Legal
Argentina,ARG,2023,01. Legal
Armenia,ARM,2023,01. Legal
Aruba,ABW,2023,01. Legal
Australia,AUS,2023,04. Banned (3-month deferral)
Austria,AUT,2023,01. Legal
Azerbaijan,AZE,2023,01. Legal
Bahamas,BHS,2023,01. Legal
Bahrain,BHR,2023,03. Ambiguous
Bangladesh,BGD,2023,03. Ambiguous
Barbados,BRB,2023,01. Legal
Belarus,BLR,2023,01. Legal
Belgium,BEL,2023,06. Banned (1-year deferral)
Belize,BLZ,2023,01. Legal
Benin,BEN,2023,01. Legal
Bermuda,BMU,2023,01. Legal
Bhutan,BTN,2023,01. Legal
Bolivia,BOL,2023,01. Legal
Bosnia and Herzegovina,BIH,2023,02. Varies by region
Botswana,BWA,2023,01. Legal
Brazil,BRA,2023,01. Legal
British Indian Ocean Territory,IOT,2023,03. Ambiguous
British Virgin Islands,VGB,2023,08. Banned (indefinite deferral)
Brunei,BRN,2023,08. Banned (indefinite deferral)
Bulgaria,BGR,2023,01. Legal
Burkina Faso,BFA,2023,01. Legal
Burundi,BDI,2023,01. Legal
Cambodia,KHM,2023,01. Legal
Cameroon,CMR,2023,01. Legal
Canada,CAN,2023,01. Legal
Cape Verde,CPV,2023,03. Ambiguous
Cayman Islands,CYM,2023,01. Legal
Central African Republic,CAF,2023,08. Banned (indefinite deferral)
Chad,TCD,2023,01. Legal
Chile,CHL,2023,01. Legal
China,CHN,2023,08. Banned (indefinite deferral)
Christmas Island,CXR,2023,06. Banned (1-year deferral)
Cocos Islands,CCK,2023,01. Legal
Colombia,COL,2023,01. Legal
Comoros,COM,2023,08. Banned (indefinite deferral)
Congo,COG,2023,01. Legal
Cook Islands,COK,2023,01. Legal
Costa Rica,CRI,2023,01. Legal
Cote d'Ivoire,CIV,2023,08. Banned (indefinite deferral)
Croatia,HRV,2023,08. Banned (indefinite deferral)
Cuba,CUB,2023,01. Legal
Curacao,CUW,2023,01. Legal
Cyprus,CYP,2023,05. Banned (6-month deferral)
Czechia,CZE,2023,06. Banned (1-year deferral)
Democratic Republic of Congo,COD,2023,01. Legal
Denmark,DNK,2023,04. Banned (3-month deferral)
Djibouti,DJI,2023,03. Ambiguous
Dominica,DMA,2023,01. Legal
Dominican Republic,DOM,2023,01. Legal
Ecuador,ECU,2023,01. Legal
Egypt,EGY,2023,08. Banned (indefinite deferral)
El Salvador,SLV,2023,01. Legal
Equatorial Guinea,GNQ,2023,01. Legal
Eritrea,ERI,2023,08. Banned (indefinite deferral)
Estonia,EST,2023,04. Banned (3-month deferral)
Eswatini,SWZ,2023,01. Legal
Faeroe Islands,,2023,08. Banned (indefinite deferral)
Falkland Islands,FLK,2023,04. Banned (3-month deferral)
Fiji,FJI,2023,01. Legal
Finland,FIN,2023,04. Banned (3-month deferral)
France,FRA,2023,01. Legal
French Guiana,GUF,2023,01. Legal
French Polynesia,PYF,2023,01. Legal
French Southern Territories,ATF,2023,01. Legal
Gabon,GAB,2023,01. Legal
Gambia,GMB,2023,08. Banned (indefinite deferral)
Georgia,GEO,2023,01. Legal
Germany,DEU,2023,01. Legal
Ghana,GHA,2023,08. Banned (indefinite deferral)
Gibraltar,GIB,2023,08. Banned (indefinite deferral)
Greece,GRC,2023,01. Legal
Greenland,GRL,2023,04. Banned (3-month deferral)
Grenada,GRD,2023,01. Legal
Guadeloupe,GLP,2023,01. Legal
Guatemala,GTM,2023,01. Legal
Guinea,GIN,2023,01. Legal
Guinea-Bissau,GNB,2023,01. Legal
Guyana,GUY,2023,01. Legal
Haiti,HTI,2023,01. Legal
Heard Island and McDonald Islands,HMD,2023,04. Banned (3-month deferral)
Honduras,HND,2023,01. Legal
Hong Kong,HKG,2023,06. Banned (1-year deferral)
Hungary,HUN,2023,01. Legal
Iceland,ISL,2023,04. Banned (3-month deferral)
India,IND,2023,08. Banned (indefinite deferral)
Indonesia,IDN,2023,03. Ambiguous
Iraq,IRQ,2023,06. Banned (1-year deferral)
Ireland,IRL,2023,01. Legal
Isle of Man,IMN,2023,08. Banned (indefinite deferral)
Israel,ISR,2023,01. Legal
Italy,ITA,2023,01. Legal
Jamaica,JAM,2023,01. Legal
Japan,JPN,2023,05. Banned (6-month deferral)
Jordan,JOR,2023,01. Legal
Kazakhstan,KAZ,2023,01. Legal
Kenya,KEN,2023,01. Legal
Kiribati,KIR,2023,01. Legal
Kuwait,KWT,2023,01. Legal
Kyrgyzstan,KGZ,2023,01. Legal
Laos,LAO,2023,01. Legal
Latvia,LVA,2023,01. Legal
Lebanon,LBN,2023,08. Banned (indefinite deferral)
Lesotho,LSO,2023,01. Legal
Liberia,LBR,2023,01. Legal
Libya,LBY,2023,08. Banned (indefinite deferral)
Liechtenstein,LIE,2023,01. Legal
Lithuania,LTU,2023,01. Legal
Luxembourg,LUX,2023,06. Banned (1-year deferral)
Macao,MAC,2023,06. Banned (1-year deferral)
Madagascar,MDG,2023,01. Legal
Malawi,MWI,2023,01. Legal
Malaysia,MYS,2023,08. Banned (indefinite deferral)
Maldives,MDV,2023,01. Legal
Mali,MLI,2023,01. Legal
Malta,MLT,2023,01. Legal
Marshall Islands,MHL,2023,01. Legal
Martinique,MTQ,2023,01. Legal
Mauritania,MRT,2023,03. Ambiguous
Mauritius,MUS,2023,01. Legal
Mayotte,MYT,2023,01. Legal
Mexico,MEX,2023,01. Legal
Micronesia (country),FSM,2023,01. Legal
Moldova,MDA,2023,08. Banned (indefinite deferral)
Monaco,MCO,2023,01. Legal
Mongolia,MNG,2023,01. Legal
Montenegro,MNE,2023,01. Legal
Montserrat,MSR,2023,08. Banned (indefinite deferral)
Morocco,MAR,2023,01. Legal
Mozambique,MOZ,2023,01. Legal
Myanmar,MMR,2023,08. Banned (indefinite deferral)
Namibia,NAM,2023,01. Legal
Nauru,NRU,2023,01. Legal
Nepal,NPL,2023,01. Legal
Netherlands,NLD,2023,01. Legal
New Caledonia,NCL,2023,01. Legal
New Zealand,NZL,2023,04. Banned (3-month deferral)
Nicaragua,NIC,2023,01. Legal
Niger,NER,2023,01. Legal
Nigeria,NGA,2023,03. Ambiguous
Niue,NIU,2023,01. Legal
Norfolk Island,NFK,2023,06. Banned (1-year deferral)
North Macedonia,MKD,2023,01. Legal
Norway,NOR,2023,06. Banned (1-year deferral)
Oman,OMN,2023,08. Banned (indefinite deferral)
Pakistan,PAK,2023,08. Banned (indefinite deferral)
Palau,PLW,2023,01. Legal
Palestine,PSE,2023,08. Banned (indefinite deferral)
Panama,PAN,2023,01. Legal
Papua New Guinea,PNG,2023,01. Legal
Paraguay,PRY,2023,01. Legal
Peru,PER,2023,01. Legal
Philippines,PHL,2023,08. Banned (indefinite deferral)
Pitcairn,PCN,2023,08. Banned (indefinite deferral)
Poland,POL,2023,01. Legal
Portugal,PRT,2023,01. Legal
Reunion,REU,2023,01. Legal
Romania,ROU,2023,01. Legal
Russia,RUS,2023,01. Legal
Rwanda,RWA,2023,01. Legal
Saint Helena,SHN,2023,04. Banned (3-month deferral)
Saint Kitts and Nevis,KNA,2023,01. Legal
Saint Lucia,LCA,2023,01. Legal
Saint Pierre and Miquelon,SPM,2023,01. Legal
Saint Vincent and the Grenadines,VCT,2023,01. Legal
Samoa,WSM,2023,06. Banned (1-year deferral)
San Marino,SMR,2023,01. Legal
Sao Tome and Principe,STP,2023,01. Legal
Saudi Arabia,SAU,2023,08. Banned (indefinite deferral)
Senegal,SEN,2023,01. Legal
Serbia,SRB,2023,05. Banned (6-month deferral)
Seychelles,SYC,2023,01. Legal
Sierra Leone,SLE,2023,01. Legal
Singapore,SGP,2023,08. Banned (indefinite deferral)
Sint Maarten (Dutch part),SXM,2023,01. Legal
Slovakia,SVK,2023,06. Banned (1-year deferral)
Slovenia,SVN,2023,01. Legal
Solomon Islands,SLB,2023,01. Legal
Somalia,SOM,2023,03. Ambiguous
South Africa,ZAF,2023,01. Legal
South Georgia and the South Sandwich Islands,SGS,2023,01. Legal
South Korea,KOR,2023,06. Banned (1-year deferral)
South Sudan,SSD,2023,01. Legal
Spain,ESP,2023,01. Legal
Sri Lanka,LKA,2023,08. Banned (indefinite deferral)
Suriname,SUR,2023,01. Legal
Sweden,SWE,2023,05. Banned (6-month deferral)
Switzerland,CHE,2023,06. Banned (1-year deferral)
Syria,SYR,2023,01. Legal
Taiwan,TWN,2023,07. Banned (5-year deferral)
Tajikistan,TJK,2023,08. Banned (indefinite deferral)
Tanzania,TZA,2023,01. Legal
Thailand,THA,2023,08. Banned (indefinite deferral)
Timor,,2023,08. Banned (indefinite deferral)
Togo,TGO,2023,01. Legal
Tokelau,TKL,2023,03. Ambiguous
Tonga,TON,2023,01. Legal
Trinidad and Tobago,TTO,2023,04. Banned (3-month deferral)
Tunisia,TUN,2023,01. Legal
Turkey,TUR,2023,08. Banned (indefinite deferral)
Turkmenistan,TKM,2023,01. Legal
Turks and Caicos Islands,TCA,2023,03. Ambiguous
Tuvalu,TUV,2023,01. Legal
Ukraine,UKR,2023,01. Legal
United Arab Emirates,ARE,2023,08. Banned (indefinite deferral)
United Kingdom,GBR,2023,01. Legal
United States,USA,2023,01. Legal
Uruguay,URY,2023,01. Legal
Vanuatu,VUT,2023,01. Legal
Vatican,VAT,2023,03. Ambiguous
Venezuela,VEN,2023,01. Legal
Vietnam,VNM,2023,01. Legal
Wallis and Futuna,WLF,2023,06. Banned (1-year deferral)
Western Sahara,ESH,2023,01. Legal
Yemen,YEM,2023,03. Ambiguous
Zambia,ZMB,2023,01. Legal
Zimbabwe,ZWE,2023,01. Legal
