Entity,Code,Year,Censorship of LGBT issues (current)
Afghanistan,AFG,2023,04. Other punishment
Albania,ALB,2023,01. No censorship
Algeria,DZA,2023,07. Imprisonment as punishment
Andorra,AND,2023,01. No censorship
Angola,AGO,2023,01. No censorship
Anguilla,AIA,2023,01. No censorship
Antarctica,ATA,2023,01. No censorship
Antigua and Barbuda,ATG,2023,01. No censorship
Argentina,ARG,2023,01. No censorship
Armenia,ARM,2023,01. No censorship
Aruba,ABW,2023,01. No censorship
Australia,AUS,2023,01. No censorship
Austria,AUT,2023,01. No censorship
Azerbaijan,AZE,2023,01. No censorship
Bahamas,BHS,2023,01. No censorship
Bahrain,BHR,2023,03. Ambiguous
Bangladesh,BGD,2023,01. No censorship
Barbados,BRB,2023,01. No censorship
Belarus,BLR,2023,06. State-enforced
Belgium,BEL,2023,01. No censorship
Belize,BLZ,2023,01. No censorship
Benin,BEN,2023,01. No censorship
Bermuda,BMU,2023,01. No censorship
Bhutan,BTN,2023,01. No censorship
Bolivia,BOL,2023,01. No censorship
Bosnia and Herzegovina,BIH,2023,01. No censorship
Botswana,BWA,2023,01. No censorship
Bouvet Island,BVT,2023,01. No censorship
Brazil,BRA,2023,01. No censorship
British Indian Ocean Territory,IOT,2023,01. No censorship
British Virgin Islands,VGB,2023,01. No censorship
Brunei,BRN,2023,04. Other punishment
Bulgaria,BGR,2023,01. No censorship
Burkina Faso,BFA,2023,01. No censorship
Burundi,BDI,2023,01. No censorship
Cambodia,KHM,2023,01. No censorship
Cameroon,CMR,2023,06. State-enforced
Canada,CAN,2023,01. No censorship
Cape Verde,CPV,2023,01. No censorship
Cayman Islands,CYM,2023,01. No censorship
Central African Republic,CAF,2023,01. No censorship
Chad,TCD,2023,01. No censorship
Chile,CHL,2023,01. No censorship
China,CHN,2023,06. State-enforced
Christmas Island,CXR,2023,01. No censorship
Cocos Islands,CCK,2023,01. No censorship
Colombia,COL,2023,01. No censorship
Comoros,COM,2023,01. No censorship
Congo,COG,2023,01. No censorship
Cook Islands,COK,2023,01. No censorship
Costa Rica,CRI,2023,01. No censorship
Cote d'Ivoire,CIV,2023,03. Ambiguous
Croatia,HRV,2023,01. No censorship
Cuba,CUB,2023,01. No censorship
Curacao,CUW,2023,01. No censorship
Cyprus,CYP,2023,01. No censorship
Czechia,CZE,2023,01. No censorship
Democratic Republic of Congo,COD,2023,01. No censorship
Denmark,DNK,2023,01. No censorship
Djibouti,DJI,2023,06. State-enforced
Dominica,DMA,2023,01. No censorship
Dominican Republic,DOM,2023,01. No censorship
Ecuador,ECU,2023,01. No censorship
Egypt,EGY,2023,07. Imprisonment as punishment
El Salvador,SLV,2023,01. No censorship
Equatorial Guinea,GNQ,2023,01. No censorship
Eritrea,ERI,2023,06. State-enforced
Estonia,EST,2023,01. No censorship
Eswatini,SWZ,2023,01. No censorship
Ethiopia,ETH,2023,06. State-enforced
Faeroe Islands,,2023,01. No censorship
Falkland Islands,FLK,2023,01. No censorship
Fiji,FJI,2023,01. No censorship
Finland,FIN,2023,01. No censorship
France,FRA,2023,01. No censorship
French Guiana,GUF,2023,01. No censorship
French Polynesia,PYF,2023,01. No censorship
French Southern Territories,ATF,2023,01. No censorship
Gabon,GAB,2023,01. No censorship
Gambia,GMB,2023,01. No censorship
Georgia,GEO,2023,01. No censorship
Germany,DEU,2023,01. No censorship
Ghana,GHA,2023,01. No censorship
Gibraltar,GIB,2023,01. No censorship
Greece,GRC,2023,01. No censorship
Greenland,GRL,2023,01. No censorship
Grenada,GRD,2023,01. No censorship
Guadeloupe,GLP,2023,01. No censorship
Guatemala,GTM,2023,01. No censorship
