Entity,Code,Year,Conversion therapy (current)
Afghanistan,AFG,2023,04. Not banned
Albania,ALB,2023,01. Banned
Algeria,DZA,2023,04. Not banned
Andorra,AND,2023,04. Not banned
Angola,AGO,2023,04. Not banned
Anguilla,AIA,2023,03. Ambiguous
Antigua and Barbuda,ATG,2023,03. Ambiguous
Argentina,ARG,2023,01. Banned
Armenia,ARM,2023,04. Not banned
Aruba,ABW,2023,03. Ambiguous
Australia,AUS,2023,02. Varies by region
Austria,AUT,2023,04. Not banned
Azerbaijan,AZE,2023,04. Not banned
Bahamas,BHS,2023,04. Not banned
Bahrain,BHR,2023,04. Not banned
Bangladesh,BGD,2023,04. Not banned
Barbados,BRB,2023,03. Ambiguous
Belarus,BLR,2023,04. Not banned
Belgium,BEL,2023,04. Not banned
Belize,BLZ,2023,04. Not banned
Benin,BEN,2023,03. Ambiguous
Bermuda,BMU,2023,03. Ambiguous
Bhutan,BTN,2023,04. Not banned
Bolivia,BOL,2023,04. Not banned
Botswana,BWA,2023,04. Not banned
Bouvet Island,BVT,2023,04. Not banned
Brazil,BRA,2023,01. Banned
British Indian Ocean Territory,IOT,2023,04. Not banned
British Virgin Islands,VGB,2023,04. Not banned
Brunei,BRN,2023,04. Not banned
Bulgaria,BGR,2023,04. Not banned
Burkina Faso,BFA,2023,04. Not banned
Burundi,BDI,2023,03. Ambiguous
Cambodia,KHM,2023,04. Not banned
Cameroon,CMR,2023,04. Not banned
Canada,CAN,2023,01. Banned
Cape Verde,CPV,2023,04. Not banned
Cayman Islands,CYM,2023,03. Ambiguous
Central African Republic,CAF,2023,04. Not banned
Chad,TCD,2023,04. Not banned
Chile,CHL,2023,01. Banned
China,CHN,2023,04. Not banned
Cocos Islands,CCK,2023,01. Banned
Colombia,COL,2023,04. Not banned
Comoros,COM,2023,04. Not banned
Congo,COG,2023,03. Ambiguous
Cook Islands,COK,2023,03. Ambiguous
Costa Rica,CRI,2023,04. Not banned
Croatia,HRV,2023,04. Not banned
Cuba,CUB,2023,04. Not banned
Curacao,CUW,2023,03. Ambiguous
Cyprus,CYP,2023,01. Banned
Czechia,CZE,2023,04. Not banned
Democratic Republic of Congo,COD,2023,04. Not banned
Denmark,DNK,2023,03. Ambiguous
Djibouti,DJI,2023,04. Not banned
Dominica,DMA,2023,03. Ambiguous
Dominican Republic,DOM,2023,04. Not banned
Ecuador,ECU,2023,01. Banned
Egypt,EGY,2023,04. Not banned
El Salvador,SLV,2023,03. Ambiguous
Equatorial Guinea,GNQ,2023,04. Not banned
Eritrea,ERI,2023,04. Not banned
Estonia,EST,2023,04. Not banned
Eswatini,SWZ,2023,03. Ambiguous
Ethiopia,ETH,2023,04. Not banned
Faeroe Islands,,2023,03. Ambiguous
Falkland Islands,FLK,2023,04. Not banned
Fiji,FJI,2023,01. Banned
Finland,FIN,2023,04. Not banned
France,FRA,2023,01. Banned
French Guiana,GUF,2023,01. Banned
French Polynesia,PYF,2023,01. Banned
French Southern Territories,ATF,2023,01. Banned
Gabon,GAB,2023,04. Not banned
Gambia,GMB,2023,04. Not banned
Georgia,GEO,2023,04. Not banned
Germany,DEU,2023,01. Banned
Ghana,GHA,2023,04. Not banned
Gibraltar,GIB,2023,03. Ambiguous
Greece,GRC,2023,01. Banned
Grenada,GRD,2023,03. Ambiguous
Guadeloupe,GLP,2023,01. Banned
Guatemala,GTM,2023,04. Not banned
Guinea,GIN,2023,03. Ambiguous
Guinea-Bissau,GNB,2023,04. Not banned
Guyana,GUY,2023,04. Not banned
Haiti,HTI,2023,04. Not banned
Heard Island and McDonald Islands,HMD,2023,01. Banned
Honduras,HND,2023,04. Not banned
Hungary,HUN,2023,04. Not banned
Iceland,ISL,2023,04. Not banned
India,IND,2023,01. Banned
Indonesia,IDN,2023,04. Not banned
Iran,IRN,2023,04. Not banned
Iraq,IRQ,2023,03. Ambiguous
Ireland,IRL,2023,04. Not banned
Isle of Man,IMN,2023,01. Banned
Israel,ISR,2023,01. Banned
Italy,ITA,2023,03. Ambiguous
Jamaica,JAM,2023,03. Ambiguous
Japan,JPN,2023,04. Not banned
Jordan,JOR,2023,04. Not banned
Kazakhstan,KAZ,2023,03. Ambiguous
Kenya,KEN,2023,04. Not banned
Kiribati,KIR,2023,04. Not banned
Kuwait,KWT,2023,04. Not banned
Kyrgyzstan,KGZ,2023,04. Not banned
Laos,LAO,2023,04. Not banned
Latvia,LVA,2023,04. Not banned
Lebanon,LBN,2023,04. Not banned
Lesotho,LSO,2023,04. Not banned
Liberia,LBR,2023,03. Ambiguous
Libya,LBY,2023,04. Not banned
Liechtenstein,LIE,2023,03. Ambiguous
Lithuania,LTU,2023,04. Not banned
Luxembourg,LUX,2023,04. Not banned
Macao,MAC,2023,04. Not banned
Madagascar,MDG,2023,04. Not banned
Malawi,MWI,2023,03. Ambiguous
Malaysia,MYS,2023,04. Not banned
Maldives,MDV,2023,04. Not banned
Mali,MLI,2023,03. Ambiguous
Malta,MLT,2023,01. Banned
Marshall Islands,MHL,2023,04. Not banned
Martinique,MTQ,2023,01. Banned
Mauritania,MRT,2023,03. Ambiguous
Mauritius,MUS,2023,01. Banned
Mayotte,MYT,2023,03. Ambiguous
Mexico,MEX,2023,02. Varies by region
Micronesia (country),FSM,2023,04. Not banned
Moldova,MDA,2023,04. Not banned
Monaco,MCO,2023,04. Not banned
Mongolia,MNG,2023,03. Ambiguous
Montenegro,MNE,2023,04. Not banned
Montserrat,MSR,2023,03. Ambiguous
Morocco,MAR,2023,03. Ambiguous
Mozambique,MOZ,2023,03. Ambiguous
Myanmar,MMR,2023,04. Not banned
Namibia,NAM,2023,04. Not banned
Nauru,NRU,2023,03. Ambiguous
Nepal,NPL,2023,04. Not banned
Netherlands,NLD,2023,04. Not banned
New Caledonia,NCL,2023,01. Banned
New Zealand,NZL,2023,01. Banned
Nicaragua,NIC,2023,04. Not banned
Niger,NER,2023,04. Not banned
Nigeria,NGA,2023,04. Not banned
Niue,NIU,2023,03. Ambiguous
North Macedonia,MKD,2023,04. Not banned
Norway,NOR,2023,04. Not banned
Oman,OMN,2023,04. Not banned
Pakistan,PAK,2023,04. Not banned
Palau,PLW,2023,04. Not banned
Palestine,PSE,2023,04. Not banned
Panama,PAN,2023,04. Not banned
Papua New Guinea,PNG,2023,04. Not banned
Paraguay,PRY,2023,01. Banned
Peru,PER,2023,04. Not banned
Philippines,PHL,2023,04. Not banned
Pitcairn,PCN,2023,03. Ambiguous
Poland,POL,2023,04. Not banned
Portugal,PRT,2023,04. Not banned
Qatar,QAT,2023,04. Not banned
Reunion,REU,2023,01. Banned
Romania,ROU,2023,04. Not banned
Russia,RUS,2023,04. Not banned
Rwanda,RWA,2023,04. Not banned
Saint Helena,SHN,2023,03. Ambiguous
Saint Kitts and Nevis,KNA,2023,03. Ambiguous
Saint Pierre and Miquelon,SPM,2023,01. Banned
Saint Vincent and the Grenadines,VCT,2023,04. Not banned
Samoa,WSM,2023,01. Banned
San Marino,SMR,2023,03. Ambiguous
Sao Tome and Principe,STP,2023,04. Not banned
Saudi Arabia,SAU,2023,04. Not banned
Senegal,SEN,2023,03. Ambiguous
Serbia,SRB,2023,04. Not banned
Seychelles,SYC,2023,04. Not banned
Sierra Leone,SLE,2023,03. Ambiguous
Singapore,SGP,2023,03. Ambiguous
Sint Maarten (Dutch part),SXM,2023,03. Ambiguous
Slovakia,SVK,2023,04. Not banned
Slovenia,SVN,2023,04. Not banned
Solomon Islands,SLB,2023,04. Not banned
Somalia,SOM,2023,04. Not banned
South Africa,ZAF,2023,04. Not banned
South Georgia and the South Sandwich Islands,SGS,2023,04. Not banned
South Korea,KOR,2023,04. Not banned
South Sudan,SSD,2023,04. Not banned
Spain,ESP,2023,01. Banned
Sri Lanka,LKA,2023,04. Not banned
Sudan,SDN,2023,04. Not banned
Suriname,SUR,2023,04. Not banned
Sweden,SWE,2023,04. Not banned
Switzerland,CHE,2023,04. Not banned
Syria,SYR,2023,04. Not banned
Taiwan,TWN,2023,01. Banned
Tajikistan,TJK,2023,04. Not banned
Thailand,THA,2023,04. Not banned
Timor,,2023,04. Not banned
