Entity,Code,Year,LGBT discrimination (current)
Afghanistan,AFG,2023,04. No protections
Albania,ALB,2023,01. Illegal
Algeria,DZA,2023,04. No protections
Andorra,AND,2023,01. Illegal
Angola,AGO,2023,01. Illegal
Anguilla,AIA,2023,04. No protections
Antigua and Barbuda,ATG,2023,01. Illegal
Argentina,ARG,2023,02. Illegal in some contexts
Armenia,ARM,2023,04. No protections
Aruba,ABW,2023,04. No protections
Australia,AUS,2023,02. Illegal in some contexts
Austria,AUT,2023,01. Illegal
Azerbaijan,AZE,2023,04. No protections
Bahamas,BHS,2023,02. Illegal in some contexts
Bahrain,BHR,2023,04. No protections
Bangladesh,BGD,2023,04. No protections
Barbados,BRB,2023,02. Illegal in some contexts
Belarus,BLR,2023,04. No protections
Belgium,BEL,2023,01. Illegal
Belize,BLZ,2023,01. Illegal
Benin,BEN,2023,04. No protections
Bermuda,BMU,2023,01. Illegal
Bhutan,BTN,2023,04. No protections
Bolivia,BOL,2023,01. Illegal
Bosnia and Herzegovina,BIH,2023,01. Illegal
Botswana,BWA,2023,01. Illegal
Brazil,BRA,2023,01. Illegal
British Indian Ocean Territory,IOT,2023,01. Illegal
British Virgin Islands,VGB,2023,01. Illegal
Brunei,BRN,2023,04. No protections
Bulgaria,BGR,2023,01. Illegal
Burkina Faso,BFA,2023,02. Illegal in some contexts
Burundi,BDI,2023,02. Illegal in some contexts
Cambodia,KHM,2023,04. No protections
Cameroon,CMR,2023,04. No protections
Canada,CAN,2023,01. Illegal
Cape Verde,CPV,2023,01. Illegal
Cayman Islands,CYM,2023,04. No protections
Central African Republic,CAF,2023,04. No protections
Chad,TCD,2023,02. Illegal in some contexts
Chile,CHL,2023,01. Illegal
China,CHN,2023,04. No protections
Christmas Island,CXR,2023,01. Illegal
Cocos Islands,CCK,2023,01. Illegal
Colombia,COL,2023,01. Illegal
Comoros,COM,2023,04. No protections
Congo,COG,2023,04. No protections
Cook Islands,COK,2023,02. Illegal in some contexts
Costa Rica,CRI,2023,02. Illegal in some contexts
Cote d'Ivoire,CIV,2023,04. No protections
Croatia,HRV,2023,01. Illegal
Cuba,CUB,2023,01. Illegal
Curacao,CUW,2023,04. No protections
Cyprus,CYP,2023,02. Illegal in some contexts
Czechia,CZE,2023,01. Illegal
Democratic Republic of Congo,COD,2023,04. No protections
Denmark,DNK,2023,01. Illegal
Djibouti,DJI,2023,04. No protections
Dominica,DMA,2023,02. Illegal in some contexts
