Entity,Code,Year,Same-sex adoption (current)
Afghanistan,AFG,2023,06. Illegal
Albania,ALB,2023,04. Single only
Algeria,DZA,2023,04. Single only
Andorra,AND,2023,01. Legal
Angola,AGO,2023,04. Single only
Anguilla,AIA,2023,04. Single only
Antigua and Barbuda,ATG,2023,04. Single only
Argentina,ARG,2023,01. Legal
Armenia,ARM,2023,04. Single only
Aruba,ABW,2023,04. Single only
Australia,AUS,2023,01. Legal
Austria,AUT,2023,01. Legal
Azerbaijan,AZE,2023,06. Illegal
Bahamas,BHS,2023,04. Single only
Bahrain,BHR,2023,06. Illegal
Bangladesh,BGD,2023,04. Single only
Barbados,BRB,2023,04. Single only
Belarus,BLR,2023,06. Illegal
Belgium,BEL,2023,01. Legal
Belize,BLZ,2023,04. Single only
Benin,BEN,2023,04. Single only
Bermuda,BMU,2023,01. Legal
Bhutan,BTN,2023,04. Single only
Bolivia,BOL,2023,04. Single only
Bosnia and Herzegovina,BIH,2023,04. Single only
Botswana,BWA,2023,04. Single only
Bouvet Island,BVT,2023,01. Legal
Brazil,BRA,2023,01. Legal
British Indian Ocean Territory,IOT,2023,01. Legal
British Virgin Islands,VGB,2023,04. Single only
Brunei,BRN,2023,06. Illegal
Bulgaria,BGR,2023,04. Single only
Burkina Faso,BFA,2023,04. Single only
Burundi,BDI,2023,04. Single only
Cambodia,KHM,2023,05. Ambiguous
Cameroon,CMR,2023,04. Single only
Canada,CAN,2023,01. Legal
Cape Verde,CPV,2023,04. Single only
Cayman Islands,CYM,2023,04. Single only
Central African Republic,CAF,2023,04. Single only
Chad,TCD,2023,04. Single only
Chile,CHL,2023,01. Legal
China,CHN,2023,04. Single only
Christmas Island,CXR,2023,01. Legal
Cocos Islands,CCK,2023,01. Legal
Colombia,COL,2023,01. Legal
Comoros,COM,2023,04. Single only
Congo,COG,2023,04. Single only
Cook Islands,COK,2023,04. Single only
Costa Rica,CRI,2023,01. Legal
Cote d'Ivoire,CIV,2023,04. Single only
Croatia,HRV,2023,01. Legal
Cuba,CUB,2023,01. Legal
Curacao,CUW,2023,04. Single only
Cyprus,CYP,2023,06. Illegal
Czechia,CZE,2023,06. Illegal
Democratic Republic of Congo,COD,2023,04. Single only
Denmark,DNK,2023,01. Legal
Djibouti,DJI,2023,06. Illegal
Dominica,DMA,2023,04. Single only
Dominican Republic,DOM,2023,04. Single only
Ecuador,ECU,2023,04. Single only
Egypt,EGY,2023,06. Illegal
El Salvador,SLV,2023,06. Illegal
Equatorial Guinea,GNQ,2023,04. Single only
Eritrea,ERI,2023,04. Single only
Estonia,EST,2023,03. Step-child adoption only
