Entity,Code,Year,Serving openly in the military (current)
Afghanistan,AFG,2023,05. Illegal
Albania,ALB,2023,01. Legal
Algeria,DZA,2023,05. Illegal
Angola,AGO,2023,01. Legal
Anguilla,AIA,2023,01. Legal
Antigua and Barbuda,ATG,2023,01. Legal
Argentina,ARG,2023,01. Legal
Armenia,ARM,2023,"02. Don't Ask, Don't Tell"
Aruba,ABW,2023,01. Legal
Australia,AUS,2023,01. Legal
Austria,AUT,2023,01. Legal
Azerbaijan,AZE,2023,04. Ambiguous
Bahamas,BHS,2023,01. Legal
Bangladesh,BGD,2023,05. Illegal
Barbados,BRB,2023,01. Legal
Belarus,BLR,2023,"02. Don't Ask, Don't Tell"
Belgium,BEL,2023,01. Legal
Belize,BLZ,2023,01. Legal
Benin,BEN,2023,01. Legal
Bermuda,BMU,2023,01. Legal
Bhutan,BTN,2023,01. Legal
Bolivia,BOL,2023,01. Legal
Bosnia and Herzegovina,BIH,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Botswana,BWA,2023,01. Legal
Bouvet Island,BVT,2023,01. Legal
Brazil,BRA,2023,01. Legal
British Virgin Islands,VGB,2023,01. Legal
Brunei,BRN,2023,05. Illegal
Bulgaria,BGR,2023,01. Legal
Burkina Faso,BFA,2023,01. Legal
Burundi,BDI,2023,05. Illegal
Cambodia,KHM,2023,01. Legal
Cameroon,CMR,2023,05. Illegal
Canada,CAN,2023,01. Legal
Cape Verde,CPV,2023,04. Ambiguous
Cayman Islands,CYM,2023,01. Legal
Central African Republic,CAF,2023,04. Ambiguous
Chad,TCD,2023,05. Illegal
Chile,CHL,2023,01. Legal
China,CHN,2023,04. Ambiguous
Christmas Island,CXR,2023,01. Legal
Colombia,COL,2023,01. Legal
Comoros,COM,2023,05. Illegal
Congo,COG,2023,01. Legal
Cook Islands,COK,2023,01. Legal
Cote d'Ivoire,CIV,2023,"02. Don't Ask, Don't Tell"
Croatia,HRV,2023,01. Legal
Cuba,CUB,2023,01. Legal
Curacao,CUW,2023,01. Legal
Cyprus,CYP,2023,01. Legal
Czechia,CZE,2023,01. Legal
Democratic Republic of Congo,COD,2023,01. Legal
Denmark,DNK,2023,01. Legal
Dominican Republic,DOM,2023,05. Illegal
Ecuador,ECU,2023,01. Legal
Egypt,EGY,2023,05. Illegal
El Salvador,SLV,2023,"02. Don't Ask, Don't Tell"
Equatorial Guinea,GNQ,2023,01. Legal
Eritrea,ERI,2023,05. Illegal
Estonia,EST,2023,01. Legal
Eswatini,SWZ,2023,01. Legal
Ethiopia,ETH,2023,05. Illegal
Faeroe Islands,,2023,01. Legal
Falkland Islands,FLK,2023,01. Legal
Fiji,FJI,2023,01. Legal
Finland,FIN,2023,01. Legal
France,FRA,2023,01. Legal
French Guiana,GUF,2023,01. Legal
French Polynesia,PYF,2023,01. Legal
French Southern Territories,ATF,2023,01. Legal
Gabon,GAB,2023,01. Legal
Gambia,GMB,2023,05. Illegal
Georgia,GEO,2023,01. Legal
Germany,DEU,2023,01. Legal
Ghana,GHA,2023,05. Illegal
Gibraltar,GIB,2023,01. Legal
Greece,GRC,2023,01. Legal
Greenland,GRL,2023,01. Legal
Guadeloupe,GLP,2023,01. Legal
Guatemala,GTM,2023,01. Legal
Guinea,GIN,2023,05. Illegal
Guinea-Bissau,GNB,2023,01. Legal
Guyana,GUY,2023,01. Legal
Heard Island and McDonald Islands,HMD,2023,01. Legal
Honduras,HND,2023,01. Legal
Hungary,HUN,2023,01. Legal
India,IND,2023,01. Legal
Indonesia,IDN,2023,05. Illegal
Iran,IRN,2023,05. Illegal
Iraq,IRQ,2023,05. Illegal
Ireland,IRL,2023,01. Legal
Isle of Man,IMN,2023,01. Legal
Israel,ISR,2023,01. Legal
Italy,ITA,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Jamaica,JAM,2023,01. Legal
Japan,JPN,2023,01. Legal
Jordan,JOR,2023,"02. Don't Ask, Don't Tell"
Kazakhstan,KAZ,2023,01. Legal
Kenya,KEN,2023,05. Illegal
Kuwait,KWT,2023,05. Illegal
Kyrgyzstan,KGZ,2023,01. Legal
Laos,LAO,2023,04. Ambiguous
Latvia,LVA,2023,01. Legal
Lebanon,LBN,2023,"02. Don't Ask, Don't Tell"
Lesotho,LSO,2023,01. Legal
Liberia,LBR,2023,01. Legal
Libya,LBY,2023,05. Illegal
Lithuania,LTU,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Luxembourg,LUX,2023,01. Legal
Macao,MAC,2023,01. Legal
Madagascar,MDG,2023,01. Legal
Malawi,MWI,2023,05. Illegal
Malaysia,MYS,2023,05. Illegal
Maldives,MDV,2023,"02. Don't Ask, Don't Tell"
Mali,MLI,2023,01. Legal
Malta,MLT,2023,01. Legal
Mauritania,MRT,2023,05. Illegal
Mayotte,MYT,2023,01. Legal
Mexico,MEX,2023,01. Legal
Moldova,MDA,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Mongolia,MNG,2023,01. Legal
Montenegro,MNE,2023,01. Legal
Montserrat,MSR,2023,01. Legal
Morocco,MAR,2023,05. Illegal
Mozambique,MOZ,2023,01. Legal
Myanmar,MMR,2023,05. Illegal
Namibia,NAM,2023,05. Illegal
Nepal,NPL,2023,01. Legal
Netherlands,NLD,2023,01. Legal
New Caledonia,NCL,2023,01. Legal
New Zealand,NZL,2023,01. Legal
Nicaragua,NIC,2023,01. Legal
Niger,NER,2023,04. Ambiguous
Nigeria,NGA,2023,05. Illegal
Niue,NIU,2023,01. Legal
North Korea,PRK,2023,04. Ambiguous
North Macedonia,MKD,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Norway,NOR,2023,01. Legal
Oman,OMN,2023,04. Ambiguous
Pakistan,PAK,2023,05. Illegal
Palestine,PSE,2023,04. Ambiguous
Papua New Guinea,PNG,2023,01. Legal
Paraguay,PRY,2023,01. Legal
Peru,PER,2023,01. Legal
