Entity,Code,Year,Right to change legal gender (current)
Afghanistan,AFG,2023,05. Illegal
Albania,ALB,2023,04. Ambiguous
Algeria,DZA,2023,05. Illegal
Andorra,AND,2023,"01. Legal, surgery not required"
Angola,AGO,2023,"01. Legal, surgery not required"
Anguilla,AIA,2023,05. Illegal
Antarctica,ATA,2023,"01. Legal, surgery not required"
Antigua and Barbuda,ATG,2023,05. Illegal
Argentina,ARG,2023,"01. Legal, surgery not required"
Aruba,ABW,2023,05. Illegal
Australia,AUS,2023,03. Varies by region
Austria,AUT,2023,"01. Legal, surgery not required"
Azerbaijan,AZE,2023,05. Illegal
Bahamas,BHS,2023,05. Illegal
Bahrain,BHR,2023,"02. Legal, but requires surgery"
Bangladesh,BGD,2023,"01. Legal, surgery not required"
Barbados,BRB,2023,05. Illegal
Belarus,BLR,2023,"01. Legal, surgery not required"
Belgium,BEL,2023,"01. Legal, surgery not required"
Belize,BLZ,2023,05. Illegal
Bermuda,BMU,2023,04. Ambiguous
Bhutan,BTN,2023,04. Ambiguous
Bolivia,BOL,2023,"01. Legal, surgery not required"
Bosnia and Herzegovina,BIH,2023,"02. Legal, but requires surgery"
Botswana,BWA,2023,"01. Legal, surgery not required"
Bouvet Island,BVT,2023,"01. Legal, surgery not required"
Brazil,BRA,2023,"01. Legal, surgery not required"
British Indian Ocean Territory,IOT,2023,"01. Legal, surgery not required"
British Virgin Islands,VGB,2023,05. Illegal
Brunei,BRN,2023,05. Illegal
Bulgaria,BGR,2023,05. Illegal
Burkina Faso,BFA,2023,04. Ambiguous
Burundi,BDI,2023,04. Ambiguous
Cambodia,KHM,2023,05. Illegal
Cameroon,CMR,2023,05. Illegal
Canada,CAN,2023,"01. Legal, surgery not required"
Cape Verde,CPV,2023,05. Illegal
Cayman Islands,CYM,2023,04. Ambiguous
Central African Republic,CAF,2023,05. Illegal
Chad,TCD,2023,04. Ambiguous
Chile,CHL,2023,"01. Legal, surgery not required"
China,CHN,2023,"02. Legal, but requires surgery"
Christmas Island,CXR,2023,"01. Legal, surgery not required"
Cocos Islands,CCK,2023,"01. Legal, surgery not required"
Colombia,COL,2023,"01. Legal, surgery not required"
Comoros,COM,2023,05. Illegal
Congo,COG,2023,04. Ambiguous
Cook Islands,COK,2023,"01. Legal, surgery not required"
Costa Rica,CRI,2023,"01. Legal, surgery not required"
Cote d'Ivoire,CIV,2023,05. Illegal
Croatia,HRV,2023,"01. Legal, surgery not required"
Cuba,CUB,2023,"01. Legal, surgery not required"
Curacao,CUW,2023,04. Ambiguous
Cyprus,CYP,2023,04. Ambiguous
Czechia,CZE,2023,"02. Legal, but requires surgery"
Democratic Republic of Congo,COD,2023,05. Illegal
Denmark,DNK,2023,"01. Legal, surgery not required"
Djibouti,DJI,2023,05. Illegal
Dominica,DMA,2023,04. Ambiguous
Dominican Republic,DOM,2023,05. Illegal
Ecuador,ECU,2023,"01. Legal, surgery not required"
Egypt,EGY,2023,"02. Legal, but requires surgery"
El Salvador,SLV,2023,05. Illegal
Equatorial Guinea,GNQ,2023,05. Illegal
Eritrea,ERI,2023,04. Ambiguous
Estonia,EST,2023,"01. Legal, surgery not required"
Eswatini,SWZ,2023,04. Ambiguous
Ethiopia,ETH,2023,05. Illegal
Faeroe Islands,,2023,"02. Legal, but requires surgery"
Falkland Islands,FLK,2023,05. Illegal
Fiji,FJI,2023,05. Illegal
Finland,FIN,2023,"01. Legal, surgery not required"
France,FRA,2023,"01. Legal, surgery not required"
French Guiana,GUF,2023,"01. Legal, surgery not required"
French Polynesia,PYF,2023,"01. Legal, surgery not required"
French Southern Territories,ATF,2023,"01. Legal, surgery not required"
