Entity,Code,Year,Homosexual activity (current)
Afghanistan,AFG,2023,06. Illegal (death penalty as punishment)
Albania,ALB,2023,01. Legal
Algeria,DZA,2023,"05. Illegal, prison or other penalty"
Andorra,AND,2023,01. Legal
Angola,AGO,2023,01. Legal
Anguilla,AIA,2023,01. Legal
Antarctica,ATA,2023,01. Legal
Antigua and Barbuda,ATG,2023,01. Legal
Argentina,ARG,2023,01. Legal
Armenia,ARM,2023,01. Legal
Aruba,ABW,2023,01. Legal
Australia,AUS,2023,01. Legal
Austria,AUT,2023,01. Legal
Azerbaijan,AZE,2023,01. Legal
Bahamas,BHS,2023,01. Legal
Bahrain,BHR,2023,01. Legal
Bangladesh,BGD,2023,"05. Illegal, prison or other penalty"
Barbados,BRB,2023,01. Legal
Belarus,BLR,2023,01. Legal
Belgium,BEL,2023,01. Legal
Belize,BLZ,2023,01. Legal
Benin,BEN,2023,01. Legal
Bermuda,BMU,2023,01. Legal
Bhutan,BTN,2023,01. Legal
Bolivia,BOL,2023,01. Legal
Bosnia and Herzegovina,BIH,2023,01. Legal
Botswana,BWA,2023,01. Legal
Bouvet Island,BVT,2023,01. Legal
Brazil,BRA,2023,01. Legal
British Indian Ocean Territory,IOT,2023,01. Legal
British Virgin Islands,VGB,2023,01. Legal
Brunei,BRN,2023,06. Illegal (death penalty as punishment)
Bulgaria,BGR,2023,01. Legal
Burkina Faso,BFA,2023,01. Legal
Burundi,BDI,2023,"05. Illegal, prison or other penalty"
Cambodia,KHM,2023,01. Legal
Cameroon,CMR,2023,"05. Illegal, prison or other penalty"
Canada,CAN,2023,01. Legal
Cape Verde,CPV,2023,01. Legal
Cayman Islands,CYM,2023,01. Legal
Central African Republic,CAF,2023,01. Legal
Chad,TCD,2023,"05. Illegal, prison or other penalty"
Chile,CHL,2023,01. Legal
China,CHN,2023,01. Legal
Christmas Island,CXR,2023,01. Legal
Cocos Islands,CCK,2023,01. Legal
Colombia,COL,2023,01. Legal
Comoros,COM,2023,"05. Illegal, prison or other penalty"
Congo,COG,2023,01. Legal
Cook Islands,COK,2023,01. Legal
Costa Rica,CRI,2023,01. Legal
Cote d'Ivoire,CIV,2023,01. Legal
Croatia,HRV,2023,01. Legal
Cuba,CUB,2023,01. Legal
Curacao,CUW,2023,01. Legal
Cyprus,CYP,2023,01. Legal
Czechia,CZE,2023,01. Legal
Democratic Republic of Congo,COD,2023,01. Legal
Denmark,DNK,2023,01. Legal
Djibouti,DJI,2023,01. Legal
Dominica,DMA,2023,"05. Illegal, prison or other penalty"
Dominican Republic,DOM,2023,01. Legal
Ecuador,ECU,2023,01. Legal
Egypt,EGY,2023,03. Ambiguous
El Salvador,SLV,2023,01. Legal
Equatorial Guinea,GNQ,2023,01. Legal
Eritrea,ERI,2023,"05. Illegal, prison or other penalty"
Estonia,EST,2023,01. Legal
Eswatini,SWZ,2023,"04. Male illegal, female legal or uncertain"
Ethiopia,ETH,2023,"05. Illegal, prison or other penalty"
Faeroe Islands,,2023,01. Legal
Falkland Islands,FLK,2023,01. Legal
Fiji,FJI,2023,01. Legal
Finland,FIN,2023,01. Legal
France,FRA,2023,01. Legal
French Guiana,GUF,2023,01. Legal
French Polynesia,PYF,2023,01. Legal
French Southern Territories,ATF,2023,01. Legal
Gabon,GAB,2023,01. Legal
Gambia,GMB,2023,"05. Illegal, prison or other penalty"
Georgia,GEO,2023,01. Legal
Germany,DEU,2023,01. Legal
Ghana,GHA,2023,"04. Male illegal, female legal or uncertain"
Gibraltar,GIB,2023,01. Legal
Greece,GRC,2023,01. Legal
Greenland,GRL,2023,01. Legal
Grenada,GRD,2023,"04. Male illegal, female legal or uncertain"
Guadeloupe,GLP,2023,01. Legal
Guatemala,GTM,2023,01. Legal
Guinea,GIN,2023,"05. Illegal, prison or other penalty"
Guinea-Bissau,GNB,2023,01. Legal
Guyana,GUY,2023,"04. Male illegal, female legal or uncertain"
Haiti,HTI,2023,01. Legal
Heard Island and McDonald Islands,HMD,2023,01. Legal
Honduras,HND,2023,01. Legal
Hong Kong,HKG,2023,01. Legal
Hungary,HUN,2023,01. Legal
Iceland,ISL,2023,01. Legal
India,IND,2023,01. Legal
Indonesia,IDN,2023,03. Ambiguous
Iran,IRN,2023,06. Illegal (death penalty as punishment)
Iraq,IRQ,2023,03. Ambiguous
Ireland,IRL,2023,01. Legal
Isle of Man,IMN,2023,01. Legal
Israel,ISR,2023,01. Legal
Italy,ITA,2023,01. Legal
Jamaica,JAM,2023,"04. Male illegal, female legal or uncertain"
Japan,JPN,2023,01. Legal
Jordan,JOR,2023,01. Legal
Kazakhstan,KAZ,2023,01. Legal
Kenya,KEN,2023,"05. Illegal, prison or other penalty"
Kiribati,KIR,2023,"04. Male illegal, female legal or uncertain"
Kuwait,KWT,2023,"04. Male illegal, female legal or uncertain"
Kyrgyzstan,KGZ,2023,01. Legal
Laos,LAO,2023,01. Legal
Latvia,LVA,2023,01. Legal
Lesotho,LSO,2023,01. Legal
Liberia,LBR,2023,"05. Illegal, prison or other penalty"
Libya,LBY,2023,"05. Illegal, prison or other penalty"
Liechtenstein,LIE,2023,01. Legal
Lithuania,LTU,2023,01. Legal
Luxembourg,LUX,2023,01. Legal
Macao,MAC,2023,01. Legal
Madagascar,MDG,2023,01. Legal
Malawi,MWI,2023,"05. Illegal, prison or other penalty"
Malaysia,MYS,2023,"05. Illegal, prison or other penalty"
Maldives,MDV,2023,"05. Illegal, prison or other penalty"
Mali,MLI,2023,01. Legal
Malta,MLT,2023,01. Legal
Marshall Islands,MHL,2023,01. Legal
Martinique,MTQ,2023,01. Legal
Mauritania,MRT,2023,06. Illegal (death penalty as punishment)
Mauritius,MUS,2023,"04. Male illegal, female legal or uncertain"
Mayotte,MYT,2023,01. Legal
Mexico,MEX,2023,01. Legal
Micronesia (country),FSM,2023,01. Legal
Moldova,MDA,2023,01. Legal
Monaco,MCO,2023,01. Legal
Mongolia,MNG,2023,01. Legal
Montenegro,MNE,2023,01. Legal
Montserrat,MSR,2023,01. Legal
Morocco,MAR,2023,"05. Illegal, prison or other penalty"
Mozambique,MOZ,2023,01. Legal
Myanmar,MMR,2023,"04. Male illegal, female legal or uncertain"
Namibia,NAM,2023,"04. Male illegal, female legal or uncertain"
Nauru,NRU,2023,01. Legal
Nepal,NPL,2023,01. Legal
Netherlands,NLD,2023,01. Legal
New Caledonia,NCL,2023,01. Legal
New Zealand,NZL,2023,01. Legal
Nicaragua,NIC,2023,01. Legal
Niger,NER,2023,01. Legal
Nigeria,NGA,2023,"05. Illegal, prison or other penalty"
Niue,NIU,2023,"04. Male illegal, female legal or uncertain"
Norfolk Island,NFK,2023,01. Legal
North Korea,PRK,2023,03. Ambiguous
North Macedonia,MKD,2023,01. Legal
Norway,NOR,2023,01. Legal
Oman,OMN,2023,"05. Illegal, prison or other penalty"
Pakistan,PAK,2023,"05. Illegal, prison or other penalty"
Palau,PLW,2023,01. Legal
Palestine,PSE,2023,02. Varies by region
Panama,PAN,2023,01. Legal
Papua New Guinea,PNG,2023,"04. Male illegal, female legal or uncertain"
Paraguay,PRY,2023,01. Legal
Peru,PER,2023,01. Legal
Philippines,PHL,2023,01. Legal
Pitcairn,PCN,2023,01. Legal
Poland,POL,2023,01. Legal
Portugal,PRT,2023,01. Legal
Qatar,QAT,2023,"04. Male illegal, female legal or uncertain"
Reunion,REU,2023,01. Legal
Romania,ROU,2023,01. Legal
Russia,RUS,2023,02. Varies by region
Rwanda,RWA,2023,01. Legal
Saint Helena,SHN,2023,01. Legal
Saint Kitts and Nevis,KNA,2023,01. Legal
Saint Lucia,LCA,2023,"04. Male illegal, female legal or uncertain"
Saint Pierre and Miquelon,SPM,2023,01. Legal
Saint Vincent and the Grenadines,VCT,2023,"05. Illegal, prison or other penalty"
Samoa,WSM,2023,"04. Male illegal, female legal or uncertain"
San Marino,SMR,2023,01. Legal
Sao Tome and Principe,STP,2023,01. Legal
Saudi Arabia,SAU,2023,06. Illegal (death penalty as punishment)
Senegal,SEN,2023,"05. Illegal, prison or other penalty"
Serbia,SRB,2023,01. Legal
Seychelles,SYC,2023,01. Legal
Sierra Leone,SLE,2023,"04. Male illegal, female legal or uncertain"
Singapore,SGP,2023,01. Legal
Sint Maarten (Dutch part),SXM,2023,01. Legal
Slovakia,SVK,2023,01. Legal
Slovenia,SVN,2023,01. Legal
Solomon Islands,SLB,2023,"05. Illegal, prison or other penalty"
Somalia,SOM,2023,06. Illegal (death penalty as punishment)
South Africa,ZAF,2023,01. Legal
South Georgia and the South Sandwich Islands,SGS,2023,01. Legal
South Korea,KOR,2023,01. Legal
South Sudan,SSD,2023,"05. Illegal, prison or other penalty"
Spain,ESP,2023,01. Legal
Sri Lanka,LKA,2023,"05. Illegal, prison or other penalty"
Sudan,SDN,2023,"05. Illegal, prison or other penalty"
Suriname,SUR,2023,01. Legal
Sweden,SWE,2023,01. Legal
Switzerland,CHE,2023,01. Legal
Syria,SYR,2023,02. Varies by region
Taiwan,TWN,2023,01. Legal
Tajikistan,TJK,2023,01. Legal
Tanzania,TZA,2023,"05. Illegal, prison or other penalty"
Thailand,THA,2023,01. Legal
Timor,,2023,01. Legal
Togo,TGO,2023,"05. Illegal, prison or other penalty"
Tokelau,TKL,2023,01. Legal
Tonga,TON,2023,"04. Male illegal, female legal or uncertain"
Trinidad and Tobago,TTO,2023,01. Legal
Tunisia,TUN,2023,"05. Illegal, prison or other penalty"
Turkey,TUR,2023,01. Legal
Turkmenistan,TKM,2023,"04. Male illegal, female legal or uncertain"
Turks and Caicos Islands,TCA,2023,01. Legal
Tuvalu,TUV,2023,"04. Male illegal, female legal or uncertain"
Uganda,UGA,2023,"05. Illegal, prison or other penalty"
Ukraine,UKR,2023,01. Legal
United Arab Emirates,ARE,2023,06. Illegal (death penalty as punishment)
United Kingdom,GBR,2023,01. Legal
United States,USA,2023,01. Legal
Uruguay,URY,2023,01. Legal
Uzbekistan,UZB,2023,"04. Male illegal, female legal or uncertain"
Vanuatu,VUT,2023,01. Legal
Vatican,VAT,2023,01. Legal
Venezuela,VEN,2023,01. Legal
Vietnam,VNM,2023,01. Legal
Wallis and Futuna,WLF,2023,01. Legal
Western Sahara,ESH,2023,"05. Illegal, prison or other penalty"
Yemen,YEM,2023,06. Illegal (death penalty as punishment)
Zambia,ZMB,2023,"05. Illegal, prison or other penalty"
Zimbabwe,ZWE,2023,"04. Male illegal, female legal or uncertain"
