Entity,Code,Year,Legal recognition of non-binary gender (current)
Afghanistan,AFG,2023,05. Not legally recognized
Albania,ALB,2023,05. Not legally recognized
Andorra,AND,2023,05. Not legally recognized
Angola,AGO,2023,05. Not legally recognized
Anguilla,AIA,2023,05. Not legally recognized
Antarctica,ATA,2023,01. Recognized
Antigua and Barbuda,ATG,2023,05. Not legally recognized
Argentina,ARG,2023,01. Recognized
Aruba,ABW,2023,05. Not legally recognized
Australia,AUS,2023,01. Recognized
Austria,AUT,2023,02. Intersex only
Azerbaijan,AZE,2023,05. Not legally recognized
Bahamas,BHS,2023,05. Not legally recognized
Bahrain,BHR,2023,05. Not legally recognized
Bangladesh,BGD,2023,01. Recognized
Barbados,BRB,2023,05. Not legally recognized
Belarus,BLR,2023,05. Not legally recognized
Belgium,BEL,2023,05. Not legally recognized
Belize,BLZ,2023,05. Not legally recognized
Bolivia,BOL,2023,05. Not legally recognized
Bosnia and Herzegovina,BIH,2023,05. Not legally recognized
Botswana,BWA,2023,04. Ambiguous
Bouvet Island,BVT,2023,05. Not legally recognized
Brazil,BRA,2023,03. Varies by region
Bulgaria,BGR,2023,05. Not legally recognized
Cameroon,CMR,2023,05. Not legally recognized
Canada,CAN,2023,01. Recognized
Chile,CHL,2023,01. Recognized
China,CHN,2023,05. Not legally recognized
Colombia,COL,2023,01. Recognized
Costa Rica,CRI,2023,04. Ambiguous
Croatia,HRV,2023,05. Not legally recognized
Cuba,CUB,2023,05. Not legally recognized
Cyprus,CYP,2023,05. Not legally recognized
Czechia,CZE,2023,05. Not legally recognized
Denmark,DNK,2023,04. Ambiguous
Dominican Republic,DOM,2023,05. Not legally recognized
Ecuador,ECU,2023,05. Not legally recognized
Egypt,EGY,2023,05. Not legally recognized
El Salvador,SLV,2023,05. Not legally recognized
Estonia,EST,2023,05. Not legally recognized
Falkland Islands,FLK,2023,05. Not legally recognized
Finland,FIN,2023,05. Not legally recognized
France,FRA,2023,05. Not legally recognized
French Guiana,GUF,2023,05. Not legally recognized
French Southern Territories,ATF,2023,05. Not legally recognized
Georgia,GEO,2023,05. Not legally recognized
Germany,DEU,2023,02. Intersex only
Greece,GRC,2023,05. Not legally recognized
Greenland,GRL,2023,04. Ambiguous
Guadeloupe,GLP,2023,05. Not legally recognized
Guatemala,GTM,2023,05. Not legally recognized
Guyana,GUY,2023,05. Not legally recognized
Haiti,HTI,2023,05. Not legally recognized
Honduras,HND,2023,05. Not legally recognized
Hungary,HUN,2023,05. Not legally recognized
Iceland,ISL,2023,01. Recognized
India,IND,2023,01. Recognized
Indonesia,IDN,2023,05. Not legally recognized
Iran,IRN,2023,05. Not legally recognized
Ireland,IRL,2023,05. Not legally recognized
Isle of Man,IMN,2023,05. Not legally recognized
Israel,ISR,2023,05. Not legally recognized
Italy,ITA,2023,05. Not legally recognized
Jamaica,JAM,2023,05. Not legally recognized
Japan,JPN,2023,05. Not legally recognized
Kazakhstan,KAZ,2023,05. Not legally recognized
Kenya,KEN,2023,02. Intersex only
Kuwait,KWT,2023,05. Not legally recognized
Kyrgyzstan,KGZ,2023,05. Not legally recognized
Laos,LAO,2023,05. Not legally recognized
Latvia,LVA,2023,05. Not legally recognized
Lebanon,LBN,2023,05. Not legally recognized
Libya,LBY,2023,05. Not legally recognized
Liechtenstein,LIE,2023,05. Not legally recognized
Lithuania,LTU,2023,05. Not legally recognized
Luxembourg,LUX,2023,05. Not legally recognized
Malaysia,MYS,2023,05. Not legally recognized
Malta,MLT,2023,01. Recognized
Martinique,MTQ,2023,05. Not legally recognized
Mauritania,MRT,2023,05. Not legally recognized
Mexico,MEX,2023,01. Recognized
Micronesia (country),FSM,2023,05. Not legally recognized
Moldova,MDA,2023,05. Not legally recognized
Monaco,MCO,2023,05. Not legally recognized
Mongolia,MNG,2023,05. Not legally recognized
Montenegro,MNE,2023,05. Not legally recognized
Nepal,NPL,2023,01. Recognized
Netherlands,NLD,2023,01. Recognized
New Caledonia,NCL,2023,05. Not legally recognized
New Zealand,NZL,2023,01. Recognized
Nicaragua,NIC,2023,05. Not legally recognized
North Korea,PRK,2023,05. Not legally recognized
North Macedonia,MKD,2023,05. Not legally recognized
Norway,NOR,2023,05. Not legally recognized
Oman,OMN,2023,05. Not legally recognized
Pakistan,PAK,2023,01. Recognized
Panama,PAN,2023,05. Not legally recognized
Paraguay,PRY,2023,05. Not legally recognized
Peru,PER,2023,05. Not legally recognized
Philippines,PHL,2023,05. Not legally recognized
Poland,POL,2023,05. Not legally recognized
Portugal,PRT,2023,05. Not legally recognized
Qatar,QAT,2023,05. Not legally recognized
Reunion,REU,2023,05. Not legally recognized
Romania,ROU,2023,05. Not legally recognized
Russia,RUS,2023,05. Not legally recognized
Saint Kitts and Nevis,KNA,2023,05. Not legally recognized
Saint Lucia,LCA,2023,05. Not legally recognized
Saint Pierre and Miquelon,SPM,2023,05. Not legally recognized
Saint Vincent and the Grenadines,VCT,2023,05. Not legally recognized
San Marino,SMR,2023,05. Not legally recognized
Saudi Arabia,SAU,2023,05. Not legally recognized
Serbia,SRB,2023,05. Not legally recognized
Seychelles,SYC,2023,05. Not legally recognized
Slovakia,SVK,2023,05. Not legally recognized
Slovenia,SVN,2023,05. Not legally recognized
Somalia,SOM,2023,04. Ambiguous
South Africa,ZAF,2023,04. Ambiguous
Spain,ESP,2023,02. Intersex only
Sri Lanka,LKA,2023,05. Not legally recognized
Suriname,SUR,2023,05. Not legally recognized
Sweden,SWE,2023,05. Not legally recognized
Switzerland,CHE,2023,05. Not legally recognized
Syria,SYR,2023,05. Not legally recognized
Taiwan,TWN,2023,05. Not legally recognized
Tajikistan,TJK,2023,05. Not legally recognized
Thailand,THA,2023,05. Not legally recognized
Trinidad and Tobago,TTO,2023,05. Not legally recognized
Turkey,TUR,2023,05. Not legally recognized
Uganda,UGA,2023,05. Not legally recognized
Ukraine,UKR,2023,05. Not legally recognized
United Arab Emirates,ARE,2023,05. Not legally recognized
United Kingdom,GBR,2023,05. Not legally recognized
United States,USA,2023,03. Varies by region
Uruguay,URY,2023,01. Recognized
Uzbekistan,UZB,2023,05. Not legally recognized
Vatican,VAT,2023,05. Not legally recognized
Venezuela,VEN,2023,05. Not legally recognized
